item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
76036,Midnight Moon Apple Pie,1091300,11.5,17.25,750
86310,La Prima Triple Sec,1081500,3.0,4.5,1000
26613,Foundry Corn Whiskey,1011700,40.0,60.0,750
33717,Paramount Sloe Gin,1041300,5.42,8.13,1000
27102,Templeton 4YR Rye,1011600,18.09,27.14,750
27056,Jim Beam Rye,1011600,13.5,20.25,750
1258,Glenmorangie Taster Pack,1012300,14.99,22.49,100
33697,Mr. Boston Sloe Gin,1041300,5.42,8.13,1000
67526,Kahlua Coffee,1081100,12.49,18.74,750
916086,SOOH Early Times Bottled in Bond,1011500,12.5,18.75,1000
43031,Bacardi Gold Mini,1062100,5.54,8.31,50
936859,Members Mark Vodka,1901200,8.51,12.77,1750
26858,Templeton 4YR Rye,1011600,9.99,14.99,375
67557,Kamora Coffee Liqueur,1081100,8.39,12.59,1000
26474,Cedar Ridge Quintessential American Single Malt,1012300,28.5,42.75,750
86739,Ole Smoky Apple Pie Moonshine 70prf Mini,1091300,8.75,13.13,50
67522,Kahlua Coffee Mini,1081100,6.6,9.9,50
27060,Michters US*1 Kentucky Straight Single Barrel Rye,1011600,22.09,33.14,750
5555,Macallan Double Cask 12YR,1012300,34.99,52.49,750
86390,Montezuma Triple Sec,1081500,2.13,3.2,1000
27175,Templeton 4YR Rye,1011600,21.0,31.5,1000
67527,Kahlua Coffee,1081100,15.15,22.73,1000
87035,Skrewball Peanut Butter Flavored Whiskey,1091100,14.0,21.0,50
86251,Juarez Triple Sec,1081500,2.42,3.63,1000
5037,Glenlivet 12YR,1012300,29.48,44.22,1000
65752,Maestro Agavero Silver,1092100,7.0,10.5,1000
77487,Tortilla Gold DSS,1092100,4.85,7.28,1000
46057,Bayou Single Barrel,1062300,15.0,22.5,750
5036,Glenlivet 12YR,1012300,25.98,38.97,750
903458,SOOH Celtic Honey Liqueur,1901200,12.5,18.75,750
86507,Paramount Triple Sec,1081500,3.84,5.76,1000
976665,Pearl Strawberry Basil,1091100,7.0,10.5,750
75087,Juarez Gold DSS,1092100,5.0,7.5,1000
44487,Cruzan Dark,1062300,8.4,12.6,1000
67524,Kahlua Coffee,1081100,6.49,9.74,375
38580,Wisconsin Club Vodka,1700000,3.75,5.63,1000
77055,Sir Winston Peach,1091100,13.01,19.52,750
946574,Members Mark Spiced Rum,1901200,9.06,13.59,1750
42167,Myers's Original Dark Rum,1062300,13.0,19.5,1000
989210,Jose Cuervo Reserva de La Familia,1901200,95.0,142.5,750
45247,Paramount Gold Rum,1062100,4.42,6.63,1000
43034,Bacardi Gold,1062100,4.5,6.75,375
27181,Jack Daniels Tennessee Rye,1011600,15.57,23.36,750
