item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml,image_url
76036,Midnight Moon Apple Pie,1091300.0,11.5,17.25,750,https://shop.iowaabd.com/images/product-small/076036.jpg
86310,La Prima Triple Sec,1081500.0,3.0,4.5,1000,https://shop.iowaabd.com/images/product-small/086310.jpg
26613,Foundry Corn Whiskey,1011700.0,40.0,60.0,750,https://shop.iowaabd.com/images/product-small/26613-1.jpg
33717,Paramount Sloe Gin,1041300.0,5.42,8.13,1000,https://shop.iowaabd.com/images/product-small/33717-1.jpg
27102,Templeton 4YR Rye,1011600.0,18.09,27.14,750,https://shop.iowaabd.com/images/product-small/27102-1.jpg
27056,Jim Beam Rye,1011600.0,13.5,20.25,750,https://shop.iowaabd.com/images/product-small/27056-1.jpg
1258,Glenmorangie Taster Pack,1012300.0,14.99,22.49,100,https://shop.iowaabd.com/images/product-small/1258-1.jpg
33697,Mr. Boston Sloe Gin,1041300.0,5.42,8.13,1000,https://shop.iowaabd.com/images/product-small/33697-1.jpg
67526,Kahlua Coffee,1081100.0,12.49,18.74,750,https://shop.iowaabd.com/images/product-small/067524.jpg
916086,SOOH Early Times Bottled in Bond,1011500.0,12.5,18.75,1000,https://shop.iowaabd.com/images/product-small/916086-1.png
43031,Bacardi Gold Mini,1062100.0,5.54,8.31,50,https://shop.iowaabd.com/images/product-small/043031.jpg
936859,Members Mark Vodka,1901200.0,8.51,12.77,1750,https://www.tastings.com/Product-Images/Spirits/2019/12_1_2019/230336_z.jpg
26858,Templeton 4YR Rye,1011600.0,9.99,14.99,375,https://shop.iowaabd.com/images/product-small/27102-1.jpg
67557,Kamora Coffee Liqueur,1081100.0,8.39,12.59,1000,https://shop.iowaabd.com/images/product-small/067556.jpg
26474,Cedar Ridge Quintessential American Single Malt,1012300.0,28.5,42.75,750,https://shop.iowaabd.com/images/product-small/26474-1-2.jpg
86739,Ole Smoky Apple Pie Moonshine 70prf Mini,1091300.0,8.75,13.13,50,https://shop.iowaabd.com/images/product-small/86739-1.png
67522,Kahlua Coffee Mini,1081100.0,6.6,9.9,50,https://shop.iowaabd.com/images/product-small/67522-1.jpg
27060,Michters US*1 Kentucky Straight Single Barrel Rye,1011600.0,22.09,33.14,750,https://shop.iowaabd.com/images/product-small/27060-1.jpg
5555,Macallan Double Cask 12YR,1012300.0,34.99,52.49,750,https://shop.iowaabd.com/images/product-small/5555-1.jpg
86390,Montezuma Triple Sec,1081500.0,2.13,3.2,1000,https://shop.iowaabd.com/images/product-small/086390.jpg
27175,Templeton 4YR Rye,1011600.0,21.0,31.5,1000,https://shop.iowaabd.com/images/product-small/27102-1.jpg
67527,Kahlua Coffee,1081100.0,15.15,22.73,1000,https://shop.iowaabd.com/images/product-small/067524.jpg
87035,Skrewball Peanut Butter Flavored Whiskey,1091100.0,14.0,21.0,50,https://shop.iowaabd.com/images/product-small/87035-1.jpg
86251,Juarez Triple Sec,1081500.0,2.42,3.63,1000,https://shop.iowaabd.com/images/product-small/086250-1.jpg
5037,Glenlivet 12YR,1012300.0,29.48,44.22,1000,https://shop.iowaabd.com/images/product-small/5036-1.jpg
65752,Maestro Agavero Silver,1092100.0,7.0,10.5,1000,https://shop.iowaabd.com/images/product-small/65752-1.jpg
77487,Tortilla Gold DSS,1092100.0,4.85,7.28,1000,https://shop.iowaabd.com/images/product-small/077487.jpg
46057,Bayou Single Barrel,1062300.0,15.0,22.5,750,https://shop.iowaabd.com/images/product-small/20380-1.jpg
5036,Glenlivet 12YR,1012300.0,25.98,38.97,750,https://shop.iowaabd.com/images/product-small/5036-1.jpg
903458,SOOH Celtic Honey Liqueur,1901200.0,12.5,18.75,750,https://shop.iowaabd.com/images/product-small/903458-1.jpg
86507,Paramount Triple Sec,1081500.0,3.84,5.76,1000,https://shop.iowaabd.com/images/product-small/86506-1.jpg
976665,Pearl Strawberry Basil,1091100.0,7.0,10.5,750,https://shop.iowaabd.com/images/product-small/016676.jpg
75087,Juarez Gold DSS,1092100.0,5.0,7.5,1000,https://shop.iowaabd.com/images/product-small/075087-1.jpg
44487,Cruzan Dark,1062300.0,8.4,12.6,1000,https://shop.iowaabd.com/images/product-small/044486.jpg
67524,Kahlua Coffee,1081100.0,6.49,9.74,375,https://shop.iowaabd.com/images/product-small/067524.jpg
38580,Wisconsin Club Vodka,1700000.0,3.75,5.63,1000,https://shop.iowaabd.com/images/product-small/038581-1.jpg
77055,Sir Winston Peach,1091100.0,13.01,19.52,750,https://shop.iowaabd.com/images/product-small/77055-1.jpg
946574,Members Mark Spiced Rum,1901200.0,9.06,13.59,1750,https://shop.iowaabd.com/images/product-small/019476.jpg
42167,Myers's Original Dark Rum,1062300.0,13.0,19.5,1000,https://shop.iowaabd.com/images/product-small/42167-1.jpg
989210,Jose Cuervo Reserva de La Familia,1901200.0,95.0,142.5,750,https://shop.iowaabd.com/images/product-small/87406-1.jpg
45247,Paramount Gold Rum,1062100.0,4.42,6.63,1000,https://shop.iowaabd.com/images/product-small/45245-1.jpg
43034,Bacardi Gold,1062100.0,4.5,6.75,375,https://shop.iowaabd.com/images/product-small/043034.jpg
27181,Jack Daniels Tennessee Rye,1011600.0,15.57,23.36,750,https://shop.iowaabd.com/images/product-small/27181-1.jpg
26700,Cody Road Rye Mini,1011600.0,15.0,22.5,50,https://shop.iowaabd.com/images/product-small/26700-1.jpg
27026,Bulleit 95 Rye,1011600.0,20.49,30.74,1000,https://shop.iowaabd.com/images/product-small/027025.jpg
664,The Bitter Truth Cocktail Bitters Traveler's Set,1070000.0,9.5,14.25,100,https://shop.iowaabd.com/images/product-small/image-not-available2.jpg
18350,Four Roses Single Barrel,1011300.0,21.17,31.76,750,https://shop.iowaabd.com/images/product-small/18350-1.jpg
45248,Paramount Gold Rum,1062100.0,7.5,11.25,1750,https://shop.iowaabd.com/images/product-small/45245-1.jpg
86112,Dekuyper Triple Sec,1081500.0,2.33,3.5,1000,https://shop.iowaabd.com/images/product-small/086112.jpg
43036,Bacardi Gold,1062100.0,8.26,12.39,750,https://shop.iowaabd.com/images/product-small/043034.jpg
988849,SOOH Jose Cuervo Especial Gold Flask,,1.5,2.25,100,https://shop.iowaabd.com/images/product-small/988849.png
27125,Templeton 6YR Rye,1011600.0,22.75,34.13,750,https://shop.iowaabd.com/images/product-small/27125-1.jpg
44486,Cruzan Dark,1062300.0,7.0,10.5,750,https://shop.iowaabd.com/images/product-small/044486.jpg
965969,Amaro Montenegro,1082100.0,21.0,31.5,750,https://shop.iowaabd.com/images/product-small/64250-1.png
43037,Bacardi Gold,1062100.0,9.5,14.25,1000,https://shop.iowaabd.com/images/product-small/043034.jpg
26789,Steeple Ridge Bourbon Single Barrel,1011300.0,30.0,45.0,750,https://shop.iowaabd.com/images/product-small/26789-1.jpg
65792,Martell Blue Swift,1092100.0,9.99,14.99,375,https://shop.iowaabd.com/images/product-small/65792-1.jpg
86637,Tortilla Triple Sec,1081500.0,3.01,4.52,1000,https://shop.iowaabd.com/images/product-small/086637.jpg
27130,Woodford Reserve Rye,1011600.0,22.49,33.74,750,https://shop.iowaabd.com/images/product-small/27130-1.png
41844,Everclear 151,1091200.0,4.2,6.3,375,https://shop.iowaabd.com/images/product-small/41846-1.jpg
16416,Old Grand-Dad 100prf Bond Bourbon 4YR,1011500.0,13.5,20.25,750,https://shop.iowaabd.com/images/product-small/016416.jpg
41846,Everclear 151,1091200.0,8.0,12.0,750,https://shop.iowaabd.com/images/product-small/41846-1.jpg
926624,Century Farms Prairie States Unaged High Proof Corn Whiskey,1011700.0,10.53,15.8,750,https://shop.iowaabd.com/images/product-small/86560-1.jpg
65750,Maestro Agavero Gold,1092100.0,7.0,10.5,1000,https://shop.iowaabd.com/images/product-small/65750-1.jpg
901882,Buchanan Master,1901200.0,24.5,36.75,750,https://shop.iowaabd.com/images/product-small/004626.jpg
86843,Ole Smoky Salty Caramel Whiskey,1091300.0,10.0,15.0,750,https://shop.iowaabd.com/images/product-small/86843-1.jpg
27040,High West Double Rye,1011600.0,21.0,31.5,750,https://shop.iowaabd.com/images/product-small/027040-1.png
23514,Distillers Handshake,1700000.0,27.75,41.63,750,https://shop.iowaabd.com/images/product-small/014192-1.jpg
26243,Midnight Ritual,1700000.0,30.33,45.5,750,https://shop.iowaabd.com/images/product-small/26243-1.jpg
76227,Montezuma Blue,1092100.0,4.66,6.99,1000,https://shop.iowaabd.com/images/product-small/076227.jpg
18096,Evan Williams 1783,1011600.0,10.99,16.49,750,https://shop.iowaabd.com/images/product-small/018096.jpg
43038,Bacardi Gold,1062100.0,15.0,22.5,1750,https://shop.iowaabd.com/images/product-small/043034.jpg
67528,Kahlua Coffee,1081100.0,24.99,37.49,1750,https://shop.iowaabd.com/images/product-small/067524.jpg
984393,99 Watermelon Mini,,6.0,9.0,600,https://shop.iowaabd.com/images/product-small/994155-1.jpg
77805,Saints N Sinners Apple Pie,1091100.0,8.0,12.0,750,https://shop.iowaabd.com/images/product-small/77805-1-2.jpg
74831,Iowa Legendary Rye Red Label,1091100.0,24.5,36.75,750,https://shop.iowaabd.com/images/product-small/74831-1-3.jpg
903690,SOOH Southern Comfort 100prf Mini,1901200.0,9.66,14.49,50,https://shop.iowaabd.com/images/product-small/903690-1.jpg
78008,Smirnoff Moscow Mule,1700000.0,8.25,12.38,750,https://shop.iowaabd.com/images/product-small/040926-1.jpg
915188,Whistlepig Single Barrel Buy the Barrel,1011600.0,44.0,66.0,750,https://shop.iowaabd.com/images/product-small/20380-1.jpg
903621,Meukow Vs Vanilla,1901200.0,16.66,24.99,750,https://shop.iowaabd.com/images/product-small/044520.jpg
27014,Cedar Ridge Malted Rye,1011600.0,19.67,29.51,750,https://shop.iowaabd.com/images/product-small/27014-1.png
986829,Ole Smoky White Lightnin' Moonshine Mini,1091200.0,8.75,13.13,50,https://shop.iowaabd.com/images/product-small/86739-1.png
78007,Smirnoff Moscow Mule Mini,1700000.0,4.96,7.44,50,https://shop.iowaabd.com/images/product-small/37991-1.jpg
5036,Glenlivet 12YR,1012300.0,24.48,36.72,750,https://shop.iowaabd.com/images/product-small/5036-1.jpg
902981,Burnetts Blueberry,1901200.0,4.5,6.75,750,https://shop.iowaabd.com/images/product-small/41316-1.jpg
982902,SOOH Dekuyper Red Apple,1901200.0,6.3,9.45,750,https://shop.iowaabd.com/images/product-small/982902-1.jpg
44442,Cruzan Blackstrap,1062300.0,8.2,12.3,750,https://shop.iowaabd.com/images/product-small/44442-1.jpg
27022,Bulleit 95 Rye,1011600.0,27.5,41.25,1750,https://shop.iowaabd.com/images/product-small/027025.jpg
904563,SOOH Black Haus Blackberry Schnapps,1901200.0,15.0,22.5,1000,https://shop.iowaabd.com/images/product-small/904563-1.jpg
68009,Baileys Apple Pie,1700000.0,16.49,24.74,750,https://shop.iowaabd.com/images/product-small/68009-1.jpg
464,Glenmorangie Pioneer Pack,1012300.0,19.99,29.99,850,https://shop.iowaabd.com/images/product-small/000464-1-2.jpg
101174,Bulleit Outdoor Bourbon Kit w/Yeti,1700000.0,32.49,48.74,1125,https://shop.iowaabd.com/images/product-small/017086.jpg
27025,Bulleit 95 Rye,1011600.0,16.5,24.75,750,https://shop.iowaabd.com/images/product-small/027025.jpg
987514,Kirkland Signature French Vodka,1032000.0,14.47,21.71,1750,https://cdn2.bigcommerce.com/n-biq04i/nzhu1er/products/10177/images/14777/Fairdinks_Kirkland_Signature_French_Vodka_1.75L_4__73974.1448323383.500.659.jpg?c=2
73729,Evan Williams Kentucky Cider,1700000.0,4.96,7.44,750,https://shop.iowaabd.com/images/product-small/073729-1-2.jpg
86506,Paramount Triple Sec,1081500.0,3.42,5.13,750,https://shop.iowaabd.com/images/product-small/86506-1.jpg
5038,Glenlivet 12YR,1012300.0,44.97,67.46,1750,https://shop.iowaabd.com/images/product-small/5036-1.jpg
918010,Buffalo Trace Bourbon buy the Barrel,1901200.0,13.0,19.5,750,https://shop.iowaabd.com/images/product-small/018006.jpg
16096,Evan Williams Bottled in Bond,1011500.0,10.0,15.0,750,https://shop.iowaabd.com/images/product-small/016096.jpg
903025,Leroux Polish Blackberry Brandy,1901200.0,11.15,16.73,1750,https://shop.iowaabd.com/images/product-small/902247-1.png
926632,Driftless Glen Handpicked Single Barrel Cask Strength,1011300.0,25.0,37.5,750,https://shop.iowaabd.com/images/product-small/26988-1.png
941941,SOOH 360 Bing Cherry,1901200.0,7.0,10.5,750,https://shop.iowaabd.com/images/product-small/941941-1.jpg
20920,Old Tub,1011500.0,11.0,16.5,750,https://shop.iowaabd.com/images/product-small/20920-1.jpg
100568,Bourbon County Pack,1700000.0,22.0,33.0,375,https://shop.iowaabd.com/images/product-small/100568-1.jpg
