store_number,store_name,store_location,address,city
2652,Hy-Vee DrugStore / Mason City,POINT (-93.213856 43.148257),875  4th St SW,Mason City
5077,Wal-Mart 3150 / Council Bluffs,POINT (-95.867459 41.27737),1800 N 16th St,Council Bluffs
2666,Hy-Vee Food Store #2 / State Ankeny,POINT (-93.621824 41.705188),2510 SW State St,Ankeny
2571,Hy-Vee Food Store #2 / Waterloo,POINT (-92.337583 42.530476),2181 Logan Ave,Waterloo
5001,The Music Station / Independence,POINT (-91.901687 42.468633),709 First St W,Independence
2585,Hy-Vee Wine and Spirits / Algona,POINT (-94.235955 43.08091),1502 Highway 169 N Suite 1,Algona
2191,Keokuk Spirits,POINT (-91.387797 40.400038),1013 Main,Keokuk
3447,Sam's Club 6432 / Sioux City,POINT (-96.37082 42.43407),4201 S. York St.,Sioux City
4203,Liquor and Tobacco Outlet /,POINT (-92.47898 42.725694),620 W Bremer Ave,Waverly
2602,Hy-Vee Food Store / Webster City,POINT (-93.825486 42.469466),823  2nd St,Webster City
9002,Mississippi River Distillery,POINT (-90.34359400000001 41.599733),303 N Cody Rd,Leclaire
4129,Cyclone Liquors,POINT (-93.618911 42.022854),626 Lincoln Way,Ames
2508,Hy-Vee Food Store #1 / Cedar Rapids,POINT (-91.697941 41.97447),"1843 Johnson Avenue, N.W.",Cedar Rapids
3542,Chuck's Sportsmans Beverage,POINT (-92.921298 43.378499),244 W 4TH ST,St Ansgar
2619,Hy-Vee Wine and Spirits / WDM,POINT (-93.808855 41.598515),1725  74th St,West Des Moines
2637,Hy-Vee #5 / Davenport,POINT (-90.611972 41.538207),2351 W Locust,Davenport
5144,Sam's Club 6979 / Ankeny,POINT (-93.581273 41.691),4625 SE Delaware Ave,Ankeny
2616,Hy-Vee Food and Drug / Clinton,POINT (-90.193204 41.836268000000004),901 South 4th St,Clinton
4651,Casey's General Store #2300 / Jewell,POINT (-93.640039 42.302654000000004),301 MAIN ST,Jewell
2633,Hy-Vee #3 / BDI / Des Moines,POINT (-93.596754 41.554101),3221 SE 14th St,Des Moines
3385,Sam's Club 8162 / Cedar Rapids,POINT (-91.67969 42.031819),2605 Blairs Ferry Rd NE,Cedar Rapids
3354,Sam's Club 8238 / Davenport,POINT (-90.527081 41.559731),3845 Elmore Ave.,Davenport
5315,Brother's Market Wine and Spirits,POINT (-92.20510500000002 41.333293),110 South Main Street,Sigourney
3820,"Charlie's Wine and Spirits,",POINT (-96.420193 42.510535),507 W 19th St,Sioux City
2635,Hy-Vee #4 / Davenport,POINT (-90.513769 41.574973),4064 E 53rd St,Davenport
2505,Hy-Vee Wine and Spirits / Boone,POINT (-93.876107 42.063831),1111  8TH ST,Boone
5800,Brew Gas Coffee Wine Spirits,POINT (-96.474603 42.51496),2026 Riverside Blvd,Sioux City
5277,Cubby's Onawa,POINT (-96.126534 42.026608),2715 Iowa Ave,Onawa
2565,Hy-Vee Food Store #1636 / Spencer,POINT (-95.14506 43.145897),819 N Grand Ave,Spencer
5620,Casey's General Store #2874 / Riceville,POINT (-92.55645 43.363838),208 W Main St,Riceville
2522,Hy-Vee Wine and Spirits / Spirit Lake,,Hwy 9 & 71,Spirit Lake
2106,Hillstreet News and Tobacco,POINT (-92.455796 42.517182),2217 College,Cedar Falls
3869,Bootleggin' Barzini's Fin,POINT (-91.565517 41.672672),412  1st Ave,Coralville
2675,Hy-Vee #2 / Coralville,POINT (-91.60627100000002 41.721438),3285 Crosspark Rd,Coralville
2623,Hy-Vee Food Store #4 / Sioux City,POINT (-96.417783 42.519886),2827 Hamilton Blvd,Sioux City
2190,"Central City Liquor, Inc.",POINT (-93.619787 41.60566),1460 2ND AVE,Des Moines
5102,Wilkie Liquors,POINT (-91.410401 41.918328),724 1st  St  SE,Mount Vernon
3952,Lot-A-Spirits,POINT (-90.48065 41.529655),3780 State St,Bettendorf
4464,Perfect Value Liquor Mart,POINT (-90.547796 41.695329),5b  Lincoln Ave,Eldridge
2512,Hy-Vee Wine and Spirits / Iowa City,POINT (-91.53046300000001 41.642764),1720 Waterfront Dr,Iowa City
2539,Hy-Vee Food Store / Iowa Falls,POINT (-93.262364 42.508752),640 S. Oak,Iowa Falls
2670,Hy-Vee Food Store / Coralville,POINT (-91.591868 41.682337000000004),2004 8th  St,Coralville
5237,World Liquor & Tobacco + Vape,POINT (-94.17795 42.512182),"606, N 15th St",Fort Dodge
3763,Main Street Liquors / Hawarden,POINT (-96.48518900000002 42.996100000000006),911 Central Ave,Hawarden
9039,Foundry Distilling Company,POINT (-93.71798 41.568546),111 South 11th St. Ste 100,West Des Moines
2572,Hy-Vee Food Store / Cedar Falls,POINT (-92.435236 42.512789),6301 University,Cedar Falls
5054,Cork 'N Bottle / Manchester,POINT (-91.445038 42.484073),900 E Main St,Manchester
2614,Hy-Vee #3 Food & Drugstore / Davenport,POINT (-90.548919 41.55678100000001),1823 E Kimberly Rd,Davenport
2576,Hy-Vee Wine and Spirits / Storm Lake,POINT (-95.200758 42.65318400000001),1250 N Lake St,Storm Lake
2587,Hy-Vee Food Store / Johnston,POINT (-93.697731 41.665172),5750 Merle Hay Road,Johnston
3477,Sam's Club 6472 / Council Bluffs,POINT (-95.847163 41.225208),3221 Manawa Centre Dr,Council Bluffs
4250,Fareway Stores #882 / Eldora,POINT (-93.10077 42.361055),1232 14th St,Eldora
2648,Hy-Vee #4 / WDM,POINT (-93.773557 41.561197),555 S 51st St,West Des Moines
6034,Three Doors Down Liquor,POINT (-94.423026 43.063586),417 Broad St.,Whittemore
4978,Prime Mart / Waterloo,POINT (-92.291335 42.435434),3535 Marigold Dr,Waterloo
3417,Big G Food Store,,Po Box 261  310 W Dillon,Marengo
5910,Eldridge Mart,POINT (-90.58154 41.654676),209 E. Le Claire Rd,Eldridge
5425,Spirits Liquor,POINT (-93.793812 41.68840000000001),109 E 1st St. # B,Grimes
2560,Hy-Vee Food Store / Marion,,3600 Business Hwy 151 East,Marion
4829,Central City 2,POINT (-93.613739 41.60572),1501 Michigan Ave,Des Moines
2665,Hy-Vee / Waukee,POINT (-93.854477 41.615059),1005 E Hickman Rd,Waukee
2506,Hy-Vee #1044 / Burlington,POINT (-91.136655 40.814666),3140 Agency,Burlington
5979,Casey's General Store #2665 / Woodbine,POINT (-95.703113 41.738436),602 Lincolnway St,Woodbine
3728,Brewski's Beverage,POINT (-95.854809 41.262316),726 Creek Top,Council Bluffs
2603,Hy-Vee Wine and Spirits / Bettendorf,POINT (-90.483701 41.552338),2890 Devils Glen Road,Bettendorf
5236,"Giggle Juice Liquor Station, LLC",POINT (-91.29083400000002 42.108203),600 W Main St,Anamosa
4306,Northside One Stop / Hampton,POINT (-93.202452 42.753045),1208  4th St NE,Hampton
5908,Neighborhood Tobacco Outlet / Marion,POINT (-91.585363 42.033257),2500 7th Ave,Marion
